Date,Open,High,Low,Close,Adj Close,Volume
1/4/2016,2,2.1,1.96,2.1,2.1,2373300
1/5/2016,2.11,2.11,2.03,2.06,2.06,957100
1/6/2016,2,2.05,1.99,2.03,2.03,1672700
1/7/2016,1.96,2.01,1.9,1.9,1.9,2754300
1/8/2016,1.94,2.02,1.9,1.92,1.92,1611400
1/11/2016,1.92,1.96,1.78,1.85,1.85,2143400
1/12/2016,1.86,1.92,1.75,1.81,1.81,1813700
1/13/2016,1.87,1.9,1.72,1.75,1.75,2078300
1/14/2016,1.75,1.77,1.61,1.7,1.7,3773500
1/15/2016,1.65,1.67,1.56,1.66,1.66,2716800
1/19/2016,1.67,1.72,1.5,1.53,1.53,2856700
1/20/2016,1.47,1.59,1.3,1.57,1.57,4412600
1/21/2016,1.6,1.75,1.53,1.72,1.72,3233200
1/22/2016,1.79,1.82,1.72,1.82,1.82,2751100
1/25/2016,1.79,1.86,1.73,1.75,1.75,2010600
1/26/2016,1.77,1.82,1.71,1.78,1.78,1787000
1/27/2016,1.83,1.88,1.76,1.85,1.85,2298200
1/28/2016,1.92,1.94,1.71,1.77,1.77,3598100
1/29/2016,1.81,1.87,1.78,1.87,1.87,1968100
2/1/2016,1.9,1.9,1.76,1.79,1.79,1474500
2/2/2016,1.73,1.74,1.66,1.67,1.67,1649300
2/3/2016,1.7,1.71,1.6,1.68,1.68,1274700
2/4/2016,1.7,1.75,1.66,1.72,1.72,1105800
2/5/2016,1.7,1.74,1.67,1.68,1.68,781700
2/8/2016,1.65,1.68,1.6,1.61,1.61,1123300
2/9/2016,1.58,1.63,1.55,1.56,1.56,1596800
2/10/2016,1.56,1.67,1.55,1.62,1.62,1093000
2/11/2016,1.57,1.62,1.55,1.61,1.61,1097400
2/12/2016,1.64,1.69,1.6,1.67,1.67,1567900
2/16/2016,1.7,1.75,1.7,1.74,1.74,1281000
2/17/2016,1.75,1.89,1.75,1.83,1.83,3766100
2/18/2016,1.85,1.87,1.77,1.79,1.79,1157600
2/19/2016,1.8,1.81,1.73,1.75,1.75,853500
2/22/2016,1.8,1.88,1.77,1.84,1.84,1977500
